DateOfValuation	Size SqM	SqFt	PropertyType	NoOfFloors	ADDRESS	SCHEME	PRICE	YEAR	pricePerSqft
9/4/2019	199	2142	Condominium/Apartment	13	A-5-3A,JLN DESA BAKTI 2	1 DESA RESIDENCE	1300000	2019	606.9048687
12/10/2018	199	2142	Condominium/Apartment	14	A-10-3,JALAN DESA BAKTI 2	1 DESA RESIDENCE	1380000	2018	644.2528607
16/11/2017	199	2142	Condominium/Apartment	14	A-7-3,JLN DESA BAKTI 2	1 DESA RESIDENCE	1400000	2017	653.5898586
4/7/2021	199	2142	Condominium/Apartment	13	A-7-2,JLN DESA BAKTI 2	1 DESA RESIDENCE	1450000	2021	676.9323536
4/6/2018	199	2142	Condominium/Apartment	14	A-3-2,JALAN DESA BAKTI 2	1 DESA RESIDENCE	1575000	2018	735.288591
16/11/2017	199	2142	Condominium/Apartment	14	A-5-1,JALAN DESA BAKTI	1 DESA RESIDENCE	1590000	2017	742.2913395
7/3/2018	148	1593	Condominium/Apartment	13	A-G-3A,JLN DESA BAKTI 2	1 DESA RESIDENCE	1200000	2018	753.2686209
9/12/2017	199	2142	Condominium/Apartment	14	A-4-7,JALAN DESA BAKTI 2	1 DESA RESIDENCE	1680000	2017	784.3078304
23/03/2017	199	2142	Condominium/Apartment	14	A-8-7,JALAN DESA BAKTI	1 DESA RESIDENCE	1700000	2017	793.6448283
20/04/2018	143	1539	Terraced House	2	NO 28,JLN 7/105	1 DESA RESIDENCE	948000	2018	615.8892808
3/3/2017	75	807	Condominium/Apartment	18	C-07-03,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-07-10,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
7/3/2017	75	807	Condominium/Apartment	18	C-04-09,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-09-06,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-09-10,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
24/05/2017	75	807	Condominium/Apartment	18	C-8-8,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-7-07,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-03-11,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-04-03,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-03-05,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
4/4/2017	75	807	Condominium/Apartment	18	C-04-08,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-04-06,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-07-06,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-06-10,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
24/05/2017	75	807	Condominium/Apartment	18	C-09-05,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
21/04/2017	75	807	Condominium/Apartment	18	C-06-09,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-03-02,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-06-08,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
7/3/2017	75	807	Condominium/Apartment	18	C-12-01,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-10-02,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
